country,year,time_period,removal_request_court,removal_request_other,accounts_specified,accounts_witheld,tweets_witheld,accounts_witheld_tos,percent_of_witheld_content
Turkey,2015,January - June 2015,408,310,1978,125,1667,NA,0.34
United Arab Emirates,2015,January - June 2015,NA,NA,NA,NA,NA,NA,NA
United Kingdom,2015,January - June 2015,0,9,15,0,0,NA,0
United States,2015,January - June 2015,0,25,71,0,0,NA,0
Venezuela,2015,January - June 2015,NA,NA,NA,NA,NA,NA,NA
Argentina,2015,July - December 2015,NA,NA,NA,NA,NA,NA,NA
Australia,2015,July - December 2015,0,3,2,0,0,0,0
Bosnia and Herzegovina,2015,July - December 2015,0,1,1,0,0,0,0
Brazil,2015,July - December 2015,15,3,107,1,107,8,0.22
Canada,2015,July - December 2015,0,8,8,0,0,6,0
Colombia,2015,July - December 2015,0,3,3,0,0,2,0
Cyprus,2015,July - December 2015,NA,NA,NA,NA,NA,NA,NA
Czech Republic,2015,July - December 2015,0,1,1,0,0,0,0
Dominican Republic,2015,July - December 2015,0,11,11,0,0,3,0
Ecuador,2015,July - December 2015,0,16,20,0,0,2,0
Egypt,2015,July - December 2015,0,1,1,0,0,0,0
France,2015,July - December 2015,4,150,305,2,74,91,0.19
Georgia,2015,July - December 2015,0,1,1,0,0,0,0
Germany,2015,July - December 2015,0,10,10,1,1,4,0.2
Greece,2015,July - December 2015,0,4,4,0,0,1,0
Hong Kong,2015,July - December 2015,NA,NA,NA,NA,NA,NA,NA
India,2015,July - December 2015,1,39,47,0,0,21,0
Indonesia,2015,July - December 2015,0,8,8,0,0,5,0
Iraq,2015,July - December 2015,NA,NA,NA,NA,NA,NA,NA
Ireland,2015,July - December 2015,NA,NA,NA,NA,NA,NA,NA
Italy,2015,July - December 2015,0,4,4,0,0,4,0
Japan,2015,July - December 2015,2,35,130,0,1,81,0.03
Kazakhstan,2015,July - December 2015,0,4,18,0,0,13,0
Kenya,2015,July - December 2015,1,0,1,0,0,0,0
Kuwait,2015,July - December 2015,0,3,3,0,0,2,0
Luxembourg,2015,July - December 2015,0,1,1,0,0,0,0
Malaysia,2015,July - December 2015,0,3,24,0,0,23,0
Mexico,2015,July - December 2015,NA,NA,NA,NA,NA,NA,NA
Mongolia,2015,July - December 2015,0,111,111,0,0,23,0
Netherlands,2015,July - December 2015,0,5,6,0,3,0,0.4
New Zealand,2015,July - December 2015,0,1,0,0,0,0,0
Norway,2015,July - December 2015,NA,NA,NA,NA,NA,NA,NA
Pakistan,2015,July - December 2015,0,12,33,0,0,9,0
Russia,2015,July - December 2015,6,1729,1774,14,82,1306,0.05
Saudi Arabia,2015,July - December 2015,0,1,1,0,0,0,0
Serbia,2015,July - December 2015,0,1,1,0,0,0,0
South Korea,2015,July - December 2015,0,79,131,0,0,61,0
Spain,2015,July - December 2015,3,3,6,0,0,1,0
Turkey,2015,July - December 2015,450,1761,8092,414,3003,530,0.23
United Arab Emirates,2015,July - December 2015,NA,NA,NA,NA,NA,NA,NA
United Kingdom,2015,July - December 2015,1,21,120,0,82,11,0.05
United States,2015,July - December 2015,3,98,107,0,0,58,0
Venezuela,2015,July - December 2015,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2017,January - June 2017,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Argentina,2017,January - June 2017,0,7,7,0,0,3,0
Argentina,2017,July - December 2017,0,2,5,0,0,0,0
Australia,2017,January - June 2017,1,6,6,0,23,1,0.29
Australia,2017,July - December 2017,1,3,10,2,0,8,0.25
Austria,2017,January - June 2017,NA,NA,NA,NA,NA,NA,NA
Austria,2017,July - December 2017,0,1,1,0,0,0,0
Azerbaijan,2017,January - June 2017,NA,NA,NA,NA,NA,NA,NA
Azerbaijan,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Bahrain,2017,January - June 2017,0,2,2,0,0,0,0
Bahrain,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Belarus,2017,January - June 2017,NA,NA,NA,NA,NA,NA,NA
Belarus,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Belgium,2017,January - June 2017,0,3,3,0,0,3,0
Belgium,2017,July - December 2017,0,3,3,0,0,1,0
Bosnia and Herzegovina,2017,January - June 2017,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Brazil,2017,January - June 2017,14,20,271,0,25,18,0.15
Brazil,2017,July - December 2017,12,30,101,3,19,14,0.12
Canada,2017,January - June 2017,0,11,12,0,0,5,0
Canada,2017,July - December 2017,0,7,9,0,0,6,0
Chile,2017,January - June 2017,0,1,1,0,0,0,0
Chile,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Colombia,2017,January - June 2017,0,3,3,0,0,3,0
Colombia,2017,July - December 2017,0,2,2,0,0,1,0
Crotia,2017,January - June 2017,0,1,1,0,0,0,0
Crotia,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Cyprus,2017,January - June 2017,NA,NA,NA,NA,NA,NA,NA
Cyprus,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Czech Republuc,2017,January - June 2017,NA,NA,NA,NA,NA,NA,NA
Czech Republuc,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,2017,January - June 2017,0,2,2,0,0,2,0
Dominican Republic,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Ecuador,2017,January - June 2017,0,3,3,0,0,0,0
Ecuador,2017,July - December 2017,0,4,7,0,0,1,0
Egypt,2017,January - June 2017,NA,NA,NA,NA,NA,NA,NA
Egypt,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Estonia,2017,January - June 2017,NA,NA,NA,NA,NA,NA,NA
Estonia,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Finland,2017,January - June 2017,0,1,1,0,0,0,0
Finland,2017,July - December 2017,0,2,14,0,0,3,0
France,2017,January - June 2017,1,1038,1177,2,164,393,0.13
France,2017,July - December 2017,2,80,139,0,5,50,0.04
Georgia,2017,January - June 2017,NA,NA,NA,NA,NA,NA,NA
Georgia,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Germany,2017,January - June 2017,0,443,469,0,121,198,0.25
Germany,2017,July - December 2017,1,32,67,2,11,30,0.09
Greece,2017,January - June 2017,0,2,2,0,0,2,0
Greece,2017,July - December 2017,0,1,2,0,0,0,0
Haiti,2017,January - June 2017,NA,NA,NA,NA,NA,NA,NA
Haiti,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Hong Kong,2017,January - June 2017,0,2,2,0,0,1,0
Hong Kong,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
India,2017,January - June 2017,2,102,341,0,0,101,0
India,2017,July - December 2017,2,142,800,17,32,143,0.03
Indonesia,2017,January - June 2017,0,57,93,0,0,36,0
Indonesia,2017,July - December 2017,0,65,196,0,0,82,0
Iraq,2017,January - June 2017,NA,NA,NA,0,NA,NA,NA
Iraq,2017,July - December 2017,0,1,1,0,0,0,0
Ireland,2017,January - June 2017,0,8,12,0,0,4,0
Ireland,2017,July - December 2017,0,9,16,0,0,0,0
Israel,2017,January - June 2017,0,2,2,0,0,1,0
Israel,2017,July - December 2017,2,3,5,0,0,4,0
Italy,2017,January - June 2017,0,5,5,0,0,0,0
Italy,2017,July - December 2017,0,9,7,0,0,3,0
Japan,2017,January - June 2017,9,95,424,0,64,303,0.09
Japan,2017,July - December 2017,7,157,637,0,71,244,0.04
Kazakhstan,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Kazakhstan,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Kenya,2017,January - June 2017,0,1,1,0,0,0,0
Kenya,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Kuwait,2017,January - June 2017,0,3,3,0,0,0,0
Kuwait,2017,July - December 2017,0,8,15,0,0,7,0
Lebanon,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Lebanon,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Luxemburg,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Luxemburg,2017,July - December 2017,0,1,2,0,0,0,0
Malaysia,2017,January - June 2017,0,2,2,0,0,0,0
Malaysia,2017,July - December 2017,0,13,17,0,0,2,0
Maldives,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Maldives,2017,July - December 2017,1,0,2,0,0,0,0
Mexico,2017,January - June 2017,0,5,4,0,0,1,0
Mexico,2017,July - December 2017,0,8,8,0,0,5,0
Mongolia,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Mongolia,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Nepal,2017,January - June 2017,0,8,8,0,0,1,0
Nepal,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Netherlands,2017,January - June 2017,0,12,12,0,1,6,0.17
Netherlands,2017,July - December 2017,0,3,3,0,2,2,0.33
New Zealand,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
New Zealand,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Norway,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Norway,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Pakistan,2017,January - June 2017,0,24,82,0,0,19,0
Pakistan,2017,July - December 2017,0,75,674,0,0,42,0
Paraguay,2017,January - June 2017,0,1,1,0,0,0,0
Paraguay,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Philippines,2017,January - June 2017,0,1,1,0,0,1,0
Philippines,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Poland,2017,January - June 2017,0,3,3,0,0,3,0
Poland,2017,July - December 2017,2,1,2,0,0,0,0
Portugal,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Portugal,2017,July - December 2017,1,0,1,0,0,1,0
Qatar,2017,January - June 2017,0,1,1,0,0,1,0
Qatar,2017,July - December 2017,0,1,1,0,0,1,0
Russia,2017,January - June 2017,0,1213,1225,87,566,224,0.55
Russia,2017,July - December 2017,0,1292,1306,23,630,224,0.51
Saudi Arabia,2017,January - June 2017,0,4,5,0,0,2,0
Saudi Arabia,2017,July - December 2017,0,3,3,0,0,0,0
Serbia,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Serbia,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Singapore,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Singapore,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
South Africa,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
South Africa,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
South Korea,2017,January - June 2017,0,33,68,0,0,39,0
South Korea,2017,July - December 2017,0,145,577,0,0,394,0
Spain,2017,January - June 2017,4,13,37,0,2,11,0.06
Spain,2017,July - December 2017,4,11,58,0,0,8,0
Sri Lanka,2017,July - December 2017,0,1,1,0,0,0,0
Sweden,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Sweden,2017,July - December 2017,0,1,2,0,0,2,0
Switzerland,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Switzerland,2017,July - December 2017,0,2,4,0,0,2,0
Thailand,2017,January - June 2017,0,1,1,0,0,0,0
Thailand,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Turkey,2017,January - June 2017,715,1995,9289,204,497,1376,0.11
Turkey,2017,July - December 2017,466,3828,6544,148,322,2157,0.03
Ukraine,2017,January - June 2017,1,0,2,0,0,0,0
Ukraine,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,2017,January - June 2017,0,15,54,0,0,49,0
United Arab Emirates,2017,July - December 2017,0,14,72,0,0,62,0
United Kingdom,2017,January - June 2017,1,65,218,4,0,37,0.05
United Kingdom,2017,July - December 2017,5,89,165,7,30,13,0.2
United States,2017,January - June 2017,4,118,261,0,0,179,0
United States,2017,July - December 2017,7,82,162,0,0,64,0
Uruguay,2017,January - June 2017,0,1,1,0,0,0,0
Uruguay,2017,July - December 2017,0,5,7,0,0,7,0
Uzbekistan,2017,January - June 2017,NA,NA,NA,0,0,NA,NA
Uzbekistan,2017,July - December 2017,NA,NA,NA,NA,NA,NA,NA
Venezuela,2017,January - June 2017,0,1,2,0,0,0,0
Venezuela,2017,July - December 2017,0,2,2,0,0,0,0
Afghanistan,2016,July - December 2016,0,1,1,0,0,0,0
Argentina,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Argentina,2016,July - December 2016,1,1,1,0,0,1,0
Australia,2016,January - June 2016,0,5,35,0,1,2,0.2
Australia,2016,July - December 2016,0,4,4,0,0,3,0
Austria,2016,July - December 2016,0,2,4,0,0,3,0
Azerbaijan,2016,January - June 2016,0,12,12,0,0,9,0
Azerbaijan,2016,July - December 2016,1,0,0,0,0,0,0
Belarus,2016,July - December 2016,0,1,1,0,0,0,0
Belgium,2016,July - December 2016,0,1,47,0,0,44,0
Bosnia and Herzegovina,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,2016,July - December 2016,NA,NA,NA,NA,NA,NA,NA
Brazil,2016,January - June 2016,21,19,172,0,13,36,0.05
Brazil,2016,July - December 2016,33,14,114,2,15,21,0.17
Canada,2016,January - June 2016,0,11,13,0,0,3,0
Canada,2016,July - December 2016,0,11,29,0,0,14,0
Chile,2016,January - June 2016,1,0,1,0,0,0,0
Chile,2016,July - December 2016,NA,NA,NA,NA,NA,NA,NA
Colombia,2016,January - June 2016,0,4,4,0,0,2,0
Colombia,2016,July - December 2016,0,3,3,0,0,2,0
Cyprus,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Cyprus,2016,July - December 2016,NA,NA,NA,NA,NA,NA,NA
Czech Republuc,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Czech Republuc,2016,July - December 2016,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,2016,July - December 2016,NA,NA,NA,NA,NA,NA,NA
Ecuador,2016,January - June 2016,0,1,1,0,0,0,0
Ecuador,2016,July - December 2016,0,1,16,0,0,0,0
Egypt,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Egypt,2016,July - December 2016,NA,NA,NA,0,0,NA,NA
Estonia,2016,July - December 2016,0,2,2,0,0,2,0
Finland,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Finland,2016,July - December 2016,NA,NA,NA,NA,NA,NA,NA
France,2016,January - June 2016,0,466,758,4,51,381,0.11
France,2016,July - December 2016,0,1334,1430,14,335,298,0.23
Georgia,2016,January - June 2016,0,2,2,0,0,2,0
Georgia,2016,July - December 2016,NA,NA,NA,NA,NA,NA,NA
Germany,2016,January - June 2016,0,63,143,4,4,93,0.13
Germany,2016,July - December 2016,0,236,322,2,121,49,0.41
Greece,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Greece,2016,July - December 2016,0,4,4,0,0,4,0
Haiti,2016,July - December 2016,0,1,1,0,0,0,0
Hong Kong,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Hong Kong,2016,July - December 2016,NA,NA,NA,0,0,NA,NA
India,2016,January - June 2016,1,42,129,0,0,89,0
India,2016,July - December 2016,1,96,295,0,0,104,0
Indonesia,2016,January - June 2016,0,30,113,0,0,49,0
Indonesia,2016,July - December 2016,0,176,682,0,0,527,0
Iraq,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Iraq,2016,July - December 2016,NA,NA,NA,0,NA,NA,NA
Ireland,2016,January - June 2016,1,5,11,0,1,6,0.17
Ireland,2016,July - December 2016,1,7,32,0,7,5,0.13
Israel,2016,January - June 2016,0,1,1,0,0,1,0
Israel,2016,July - December 2016,0,12,34,0,16,2,0.17
Italy,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Italy,2016,July - December 2016,0,6,6,0,0,2,0
Japan,2016,January - June 2016,4,63,169,0,21,78,0.04
Japan,2016,July - December 2016,6,76,296,0,23,80,0.06
Kazakhstan,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Kazakhstan,2016,July - December 2016,0,4,4,0,0,3,0
Kenya,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Kenya,2016,July - December 2016,NA,NA,NA,0,0,NA,NA
Kuwait,2016,January - June 2016,0,5,9,0,0,7,0
Kuwait,2016,July - December 2016,0,4,11,0,0,9,0
Lebanon,2016,January - June 2016,0,2,2,0,0,1,0
Lebanon,2016,July - December 2016,NA,NA,NA,0,0,NA,NA
Luxemburg,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Luxemburg,2016,July - December 2016,0,1,1,0,0,0,0
Malaysia,2016,January - June 2016,0,2,4,0,0,3,0
Malaysia,2016,July - December 2016,0,2,2,0,0,0,0
Maldives,2016,January - June 2016,0,1,1,0,0,0,0
Maldives,2016,July - December 2016,NA,NA,NA,0,0,NA,NA
Mexico,2016,January - June 2016,0,2,2,0,0,1,0
Mexico,2016,July - December 2016,0,3,3,0,0,1,0
Mongolia,2016,January - June 2016,0,1,0,0,0,0,0
Mongolia,2016,July - December 2016,NA,NA,NA,NA,NA,NA,NA
Netherlands,2016,January - June 2016,0,6,7,0,3,2,0.33
Netherlands,2016,July - December 2016,0,3,3,1,2,2,0.33
New Zealand,2016,January - June 2016,0,1,2,0,0,0,0
New Zealand,2016,July - December 2016,0,4,7,0,0,3,0
Norway,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Norway,2016,July - December 2016,0,1,1,0,0,1,0
Pakistan,2016,January - June 2016,1,8,32,0,0,27,0
Pakistan,2016,July - December 2016,0,13,19,0,0,12,0
Philippines,2016,January - June 2016,0,1,1,0,0,0,0
Philippines,2016,July - December 2016,0,4,3,0,0,2,0
Portugal,2016,July - December 2016,0,1,1,0,0,1,0
Russia,2016,January - June 2016,2,1599,1698,10,182,1272,0.12
Russia,2016,July - December 2016,3,519,620,55,89,282,0.28
Saudi Arabia,2016,January - June 2016,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,2016,July - December 2016,0,1,2,0,0,1,0
Serbia,2016,January - June 2016,0,1,1,0,0,1,0
Serbia,2016,July - December 2016,NA,NA,NA,0,0,NA,NA
Singapore,2016,January - June 2016,0,2,2,0,0,0,0
Singapore,2016,July - December 2016,NA,NA,NA,0,0,NA,NA
South Africa,2016,January - June 2016,0,1,1,0,0,0,0
South Africa,2016,July - December 2016,0,1,1,0,0,0,0
South Korea,2016,January - June 2016,0,17,17,0,0,9,0
South Korea,2016,July - December 2016,0,56,141,0,0,102,0
Spain,2016,January - June 2016,9,11,27,0,3,8,0.05
Spain,2016,July - December 2016,1,13,21,0,0,10,0
Sweden,2016,January - June 2016,0,2,2,0,0,2,0
Sweden,2016,July - December 2016,NA,NA,NA,0,0,NA,NA
Switzerland,2016,July - December 2016,0,1,1,0,0,0,0
Thailand,2016,July - December 2016,0,3,5,0,0,5,0
Turkey,2016,January - June 2016,712,1781,14953,222,1571,393,0.23
Turkey,2016,July - December 2016,844,2232,8417,290,489,544,0.19
United Arab Emirates,2016,January - June 2016,0,1,1,0,0,1,0
United Arab Emirates,2016,July - December 2016,0,8,30,0,0,25,0
United Kingdom,2016,January - June 2016,6,168,2090,0,749,27,0.03
United Kingdom,2016,July - December 2016,1,65,238,3,16,15,0.06
United States,2016,January - June 2016,2,98,150,0,0,82,0
United States,2016,July - December 2016,2,100,164,0,0,64,0
Uzbekistan,2016,July - December 2016,0,2,2,0,0,2,0
Venezuela,2016,January - June 2016,1,0,5,0,0,0,0
Venezuela,2016,July - December 2016,0,1,1,0,0,0,0
